Partlist exported from D:/Dropbox/Eagle/Eagle_projects/MusselGapeTracker/MusselGapeTracker_RevA_2.sch at 5/26/2017 2:39 PM

Part           Value                             Device                            Package                           Description                                                                                                                      MF    MPN               OC_FARNELL OC_NEWARK PACKAGE PROD_ID     SUPPLIER  VALUE     
A139_HALL0     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL1     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL2     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL3     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL4     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL5     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL6     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL7     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL8     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL9     HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL10    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL11    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL12    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL13    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL14    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
A139_HALL15    HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 HALL_EFFECT_ALLEGRO_A139MLP/DFN-6 A139*_HALL_EFFECT                 Allegro A139* series Hall effect sensors                                                                                                                                                                              
BJT            KSC1623_BJT_TRANSISTOR            KSC1623_BJT_TRANSISTOR            SOT23                             KSC1623 BJT NPN transistor - Fairchild Seminconductor KSC1623LMTF                                                                                                                                                     
HALL3          JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL3_HEADER   PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL4          JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL4_HEADER   PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL5          JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL5_HEADER   PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL6          JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL6_HEADER   PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL7          JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL7_HEADER   PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL8          JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL8_HEADER   PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL9          JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL9_HEADER   PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL10         JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL10_HEADER  PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL11         JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL11_HEADER  PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL12         JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL12_HEADER  PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL13         JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL13_HEADER  PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL14         JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL14_HEADER  PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
HALL15         JST-4PINTH_STRAIGHT               JST-4PINTH_STRAIGHT               JST-PH-4-THM                      JST PH series male header pins                                                                                                                                                                                        
HALL15_HEADER  PINHD-2X21.5MM_SILK               PINHD-2X21.5MM_SILK               2X2_1.5MM                         2x2 header                                                                                                                                                                                                            
I2C_HEADER     PINHD-1X4BIG_LOCK                 PINHD-1X4BIG_LOCK                 1X04_BIGLOCK                      1x4 header, multiple pins spacings                                                                                                                                                                                    
